date,open,high,low.close,volume,unadjClose,flag
19750210,78.63,79.4,77.77,78.36,1612,78.36,1.0
19750211,78.36,79.07,77.38,78.58,1647,78.58,1.0
19750212,78.58,80.21,77.94,79.92,1979,79.92,1.0
19750213,79.98,82.53,79.98,81.01,3516,81.01,1.0
19750214,81.01,82.33,80.13,81.5,2329,81.5,1.0
19750218,81.5,82.45,80.16,80.93,2399,80.93,1.0
19750219,80.93,81.94,79.83,81.44,2193,81.44,1.0
19750220,81.44,82.78,80.82,82.21,2226,82.21,1.0
19750221,82.21,83.56,81.72,82.62,2444,82.62,1.0
19750224,82.62,82.71,80.87,81.44,1915,81.44,1.0
19750225,81.09,81.09,79.05,79.53,2091,79.53,1.0
19750226,79.53,80.89,78.91,80.37,1879,80.37,1.0
19750227,80.37,81.64,80.06,80.77,1643,80.77,1.0
19750228,80.77,82.02,80.07,81.59,1756,81.59,1.0
19750303,81.59,83.46,81.32,83.03,2410,83.03,1.0
19750304,83.03,85.43,82.85,83.56,3414,83.56,1.0
19750305,83.56,84.71,82.16,83.9,2412,83.9,1.0
19750306,83.9,84.17,81.94,83.69,2178,83.69,1.0
19750307,83.69,85.14,83.25,84.3,2593,84.3,1.0
19750310,84.3,85.47,83.43,84.95,2589,84.95,1.0
19750311,84.95,85.89,83.8,84.36,3128,84.36,1.0
19750312,84.36,84.73,82.87,83.59,2156,83.59,1.0
19750313,83.59,84.26,82.52,83.74,1862,83.74,1.0
19750314,83.74,85.43,83.5,84.76,2484,84.76,1.0
19750317,84.76,86.52,84.39,86.01,2678,86.01,1.0
19750318,86.01,87.08,84.75,85.13,2918,85.13,1.0
19750319,85.13,85.17,83.43,84.34,1903,84.34,1.0
19750320,84.34,85.3,83.02,83.61,2096,83.61,1.0
19750321,83.61,84.11,82.52,83.39,1594,83.39,1.0
19750324,82.39,82.39,80.6,81.42,1781,81.42,1.0
19750325,81.42,82.67,80.08,82.06,1850,82.06,1.0
19750326,82.16,84.24,82.16,83.59,1858,83.59,1.0
19750327,83.59,84.88,83.04,83.85,1830,83.85,1.0
19750331,83.85,84.62,82.84,83.36,1627,83.36,1.0
19750401,83.36,83.59,81.98,82.64,1448,82.64,1.0
19750402,82.64,83.57,81.8,82.43,1560,82.43,1.0
19750403,82.43,82.84,80.88,81.51,1392,81.51,1.0
19750404,81.51,81.9,80.29,80.88,1417,80.88,1.0
19750407,80.88,81.11,79.66,80.35,1386,80.35,1.0
19750408,80.35,81.65,80.13,80.99,1432,80.99,1.0
19750409,80.99,83.22,80.91,82.84,1812,82.84,1.0
19750410,82.84,84.7,82.68,83.77,2499,83.77,1.0
19750411,83.77,84.68,82.93,84.18,2016,84.18,1.0
19750414,84.18,86.12,83.98,85.6,2680,85.6,1.0
19750415,85.6,87.24,85.03,86.3,2962,86.3,1.0
19750416,86.3,87.1,84.93,86.6,2297,86.6,1.0
19750417,86.6,88.79,86.43,87.25,3265,87.25,1.0
19750418,87.25,87.59,85.53,86.3,2661,86.3,1.0
19750421,86.3,87.99,85.92,87.23,2396,87.23,1.0
19750422,87.23,88.64,86.58,87.09,2612,87.09,1.0
19750423,87.09,87.42,85.65,86.12,2004,86.12,1.0
19750424,86.12,86.92,85.0,86.04,1905,86.04,1.0
19750425,86.04,87.5,85.62,86.62,2026,86.62,1.0
19750428,86.62,87.33,85.54,86.23,1785,86.23,1.0
19750429,86.23,86.79,85.04,85.64,1774,85.64,1.0
19750430,85.64,87.61,85.0,87.3,1806,87.3,1.0
19750501,87.3,89.1,86.94,88.1,2066,88.1,1.0
19750502,88.1,89.98,87.91,89.22,2521,89.22,1.0
19750505,89.22,90.82,88.26,90.08,2237,90.08,1.0
19750506,90.08,90.86,88.15,88.64,2541,88.64,1.0
19750507,88.64,89.75,87.6,89.08,2225,89.08,1.0
19750508,89.08,90.13,88.23,89.56,2298,89.56,1.0
19750509,89.56,91.24,89.33,90.53,2844,90.53,1.0
19750512,90.53,91.67,89.91,90.61,2241,90.61,1.0
19750513,90.61,92.26,89.99,91.58,2495,91.58,1.0
19750514,91.58,93.23,91.17,92.27,2905,92.27,1.0
19750515,92.27,93.51,90.94,91.41,2769,91.41,1.0
19750516,91.41,91.59,89.74,90.43,1663,90.43,1.0
19750519,90.43,91.07,88.98,90.53,1787,90.53,1.0
19750520,90.53,91.45,89.58,90.07,1831,90.07,1.0
19750521,90.07,90.25,88.47,89.06,1764,89.06,1.0
19750522,89.06,90.3,88.35,89.39,1761,89.39,1.0
19750523,89.39,91.02,89.3,90.58,1787,90.58,1.0
19750527,90.58,91.29,89.6,90.34,1705,90.34,1.0
19750528,90.34,91.14,89.07,89.71,2185,89.71,1.0
19750529,89.71,90.59,88.83,89.68,1857,89.68,1.0
19750530,89.87,91.62,89.87,91.15,2267,91.15,1.0
19750602,91.32,93.41,91.32,92.58,2824,92.58,1.0
19750603,92.58,93.76,91.88,92.89,2656,92.89,1.0
19750604,92.89,93.61,91.82,92.6,2490,92.6,1.0
19750605,92.6,93.16,91.41,92.69,2161,92.69,1.0
19750606,92.69,93.6,91.75,92.48,2223,92.48,1.0
19750609,92.48,92.87,90.91,91.21,2067,91.21,1.0
19750610,91.21,91.21,89.46,90.44,2113,90.44,1.0
19750611,90.44,91.67,90.0,90.55,1823,90.55,1.0
19750612,90.55,91.36,89.64,90.08,1597,90.08,1.0
19750613,90.08,91.06,89.3,90.52,1630,90.52,1.0
19750616,90.52,91.85,90.12,91.46,1666,91.46,1.0
19750617,91.46,92.22,90.17,90.58,1944,90.58,1.0
19750618,90.58,91.07,89.6,90.39,1559,90.39,1.0
19750619,90.39,92.37,90.12,92.02,2145,92.02,1.0
19750620,92.02,93.75,91.83,92.61,2626,92.61,1.0
19750623,92.61,93.98,91.81,93.62,2072,93.62,1.0
19750624,93.62,95.23,93.31,94.19,2662,94.19,1.0
19750625,94.19,95.29,93.53,94.62,2161,94.62,1.0
19750626,94.62,95.72,93.88,94.81,2456,94.81,1.0
19750627,94.81,95.66,94.1,94.81,1882,94.81,1.0
19750630,94.81,95.85,94.3,95.19,1943,95.19,1.0
19750701,95.19,95.73,94.13,94.85,2039,94.85,1.0
19750702,94.85,94.91,93.37,94.18,1853,94.18,1.0
19750703,94.18,95.04,93.49,94.36,1900,94.36,1.0
19750707,94.36,94.82,93.16,93.54,1585,93.54,1.0
19750708,93.54,94.03,92.51,93.39,1899,93.39,1.0
19750709,93.39,95.22,93.38,94.8,2635,94.8,1.0
19750710,94.8,96.19,94.25,94.81,2888,94.81,1.0
